ID,Name,Ticker,Market Cap,24h Volume
fasttoken,Fasttoken,ftn,498053015,8302635.0
nexo,NEXO,nexo,488389211,2847340.0
corgiai,CorgiAI,corgiai,481806902,4849646.0
siacoin,Siacoin,sc,480366879,3367779.0
huobi-btc,Huobi BTC,hbtc,475931998,151811.0
trust-wallet-token,Trust Wallet,twt,467958732,10258568.0
compound-wrapped-btc,cWBTC,cwbtc,462756281,0.0
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,cbeth,460185298,3425100.0
huobi-token,Huobi,ht,457526160,5390874.0
illuvium,Illuvium,ilv,454781167,5834802.0
1inch,1inch,1inch,450375071,21924273.0
lido-staked-sol,Lido Staked SOL,stsol,434820367,234254.0
metis-token,Metis,metis,420886820,18737334.0
apenft,APENFT,nft,420239485,23794989.0
coredaoorg,Core,core,414906863,4148239.0
terra-luna-2,Terra,luna,412675822,26849800.0
pax-gold,PAX Gold,paxg,412457619,7544041.0
casper-network,Casper Network,cspr,408567538,3262259.0
gmx,GMX,gmx,407679924,7806743.0
aelf,aelf,elf,405669370,4098382.0
rollbit-coin,Rollbit Coin,rlb,404819465,2571029.0
stepn,GMT,gmt,400003869,28636936.0
radix,Radix,xrd,397757220,2488699.0
bitcoin-gold,Bitcoin Gold,btg,396891150,6076673.0
kujira,Kujira,kuji,387019442,861542.0
enjincoin,Enjin Coin,enj,384984993,11550448.0
iotex,IoTeX,iotx,383438916,5300341.0
pepe,Pepe,pepe,378885841,88421154.0
gas,Gas,gas,368411892,6170212.0
singularitynet,SingularityNET,agix,367931252,63135369.0
skale,SKALE,skl,365847022,14429708.0
celo,Celo,celo,361416365,9928799.0
compound-governance-token,Compound,comp,360458701,25886201.0
ribbon-finance,Ribbon Finance,rbn,359267720,410083.0
paxos-standard,Pax Dollar,usdp,352803875,2120849.0
zilliqa,Zilliqa,zil,349750357,9240574.0
pocket-network,Pocket Network,pokt,344172974,1367976.0
kusama,Kusama,ksm,341632313,16299112.0
compound-ether,cETH,ceth,339875290,67.73
altlayer,AltLayer,alt,336426506,128255090.0
deso,Decentralized Social,deso,332789894,2593151.0
holotoken,Holo,hot,325699320,8613514.0
magic,Magic,magic,325358099,87375730.0
ondo-finance,Ondo,ondo,324204543,77135137.0
basic-attention-token,Basic Attention,bat,322116860,8843360.0
uma,UMA,uma,321371136,25094488.0
mask-network,Mask Network,mask,320006328,42173089.0
dash,Dash,dash,318413007,24160325.0
pendle,Pendle,pendle,316094962,81536318.0
zcash,Zcash,zec,310504018,22615427.0
nem,NEM,xem,307908850,4060434.0
api3,API3,api3,301311978,59093757.0
paypal-usd,PayPal USD,pyusd,301051941,8558793.0
qtum,Qtum,qtum,298100349,15429897.0
moonbeam,Moonbeam,glmr,296629565,6181950.0
chia,Chia,xch,295668553,13743609.0
tellor,Tellor Tributes,trb,295194724,44619879.0
zetachain,ZetaChain,zeta,293847042,59067184.0
oec-token,OKT Chain,okt,287496246,463539.0
neutron-3,Neutron,ntrn,286729520,6840837.0
mx-token,MX,mx,285802601,2511471.0
loopring,Loopring,lrc,283813757,10636625.0
echelon-prime,Echelon Prime,prime,282565333,1034946.0
safepal,SafePal,sfp,279669578,1267893.0
worldcoin-wld,Worldcoin,wld,275909065,32541436.0
ethereum-pow-iou,EthereumPoW,ethw,275793617,5014334.0
floki,FLOKI,floki,274562746,11292255.0
jasmycoin,JasmyCoin,jasmy,270479733,55900442.0
aleph-zero,Aleph Zero,azero,269272668,2366855.0
0x,0x Protocol,zrx,266499101,6646430.0
beldex,Beldex,bdx,264497002,1586787.0
just,JUST,jst,263867806,26677744.0
raydium,Raydium,ray,261426844,5429882.0
theta-fuel,Theta Fuel,tfuel,261023946,1537134.0
superfarm,SuperVerse,super,260502968,6182205.0
lukso-token-2,LUKSO,lyx,254441096,560498.0
benqi-liquid-staked-avax,BENQI Liquid Staked AVAX,savax,254249769,1488551.0
band-protocol,Band Protocol,band,253859598,9628662.0
stader-ethx,Stader ETHx,ethx,252015699,3642187.0
kadena,Kadena,kda,251113798,4718541.0
decred,Decred,dcr,249274936,1810768.0
origintrail,OriginTrail,trac,249244728,1575208.0
ocean-protocol,Ocean Protocol,ocean,246906815,18792093.0
convex-finance,Convex Finance,cvx,245879213,4511896.0
threshold-network-token,Threshold Network,t,239351451,4921475.0
ankr,Ankr Network,ankr,238689641,6629228.0
aragon,Aragon,ant,237262842,19707916.0
yearn-finance,yearn.finance,yfi,236764095,16805754.0
ravencoin,Ravencoin,rvn,236741802,4441624.0
centrifuge,Centrifuge,cfg,232210210,338994.0
xai-blockchain,Xai,xai,231330163,60698012.0
escoin-token,Escoin,elg,228752259,365856.0
terrausd,TerraClassicUSD,ustc,227222255,9445304.0
biconomy,Biconomy,bico,226139740,3273538.0
helium-mobile,Helium Mobile,mobile,226022437,7835195.0
victoria-vr,Victoria VR,vr,225985827,1642677.0
chromaway,Chromia,chr,225074407,18161033.0
project-galaxy,Galxe,gal,223013004,27128581.0
nxm,Nexus Mutual,nxm,219229105,0.0
livepeer,Livepeer,lpt,215922671,9229604.0
audius,Audius,audio,215355822,3499407.0
lisk,Lisk,lsk,214085908,51396929.0
olympus,Olympus,ohm,211779201,398988.0
lcx,LCX,lcx,210552135,5087949.0
ssv-network,SSV Network,ssv,210265848,13106713.0
nervos-network,Nervos Network,ckb,210022724,15636699.0
icon,ICON,icx,209666894,935805.0
jito-governance-token,Jito,jto,209102767,26239180.0
tectum,Tectum,tet,206998683,3385477.0
waves,Waves,waves,206254148,13146220.0
dogwifcoin,dogwifhat,wif,205867745,19874129.0
dao-maker,DAO Maker,dao,205175219,3653709.0
sushi,Sushi,sushi,204389277,17787683.0
memecoin-2,Memecoin,meme,203975524,22964448.0
link,FINSCHIA,fnsa,203911073,343082.0
golem,Golem,glm,202947586,2758176.0
orca,Orca,orca,201528882,3084120.0
marlin,Marlin,pond,200607628,21310586.0
ontology,Ontology,ont,200266005,4684783.0
cartesi,Cartesi,ctsi,197415781,20737444.0
ecomi,ECOMI,omi,196773548,835071.0
amp-token,Amp,amp,196731056,3801529.0
balancer,Balancer,bal,196441606,4252794.0
pepefork,PepeFork,pork,196049207,12493890.0
zelcash,Flux,flux,194352128,7990965.0
gelato,Gelato,gel,191973542,307745.0
moonriver,Moonriver,movr,191213650,13827729.0
blox,Blox,cdt,188072140,165375.0
oasys,Oasys,oas,187200268,1173001.0
songbird,Songbird,sgb,184967426,1585863.0
dora-factory-2,Dora Factory,dora,184296816,484945.0
wax,WAX,waxp,184248576,2504259.0
swipe,SXP,sxp,182570208,6999745.0
bitkub-coin,Bitkub Coin,kub,182436318,1294894.0
gains-network,Gains Network,gns,182103107,7277314.0
auction,Bounce,auction,179333967,32026894.0
wrapped-centrifuge,Wrapped Centrifuge,wcfg,177831094,245086.0
alexgo,ALEX Lab,alex,176144355,2870146.0
maverick-protocol,Maverick Protocol,mav,175167634,37760061.0
seedify-fund,Seedify.fund,sfund,170986358,9259662.0
harmony,Harmony,one,170249186,3371919.0
wrapped-beacon-eth,Wrapped Beacon ETH,wbeth,169954241,2255769.0
gxchain,GXChain,gxc,168220643,93046.0
vethor-token,VeThor,vtho,168083870,1105186.0
venus,Venus,xvs,165736790,4323909.0
alchemix-usd,Alchemix USD,alusd,164594419,17027.62
genesysgo-shadow,Shadow Token,shdw,164252215,952685.0
baby-doge-coin,Baby Doge Coin,babydoge,164154580,2603265.0
access-protocol,Access Protocol,acs,162188645,1988954.0
numeraire,Numeraire,nmr,161535384,56474933.0
dexe,DeXe,dexe,160207883,1348028.0
swissborg,SwissBorg,borg,159371532,1020919.0
tribe-2,Tribe,tribe,158933048,170633.0
ethena-usde,Ethena USDe,usde,158810008,882966.0
polymesh,Polymesh,polyx,157482485,2749207.0
iexec-rlc,iExec RLC,rlc,157410298,61847872.0
coin98,Coin98,c98,157112949,8101739.0
creditcoin-2,Creditcoin,ctc,156954405,9540550.0
joe,JOE,joe,156630988,3989351.0
autonolas,Autonolas,olas,156090845,11884265.0
power-ledger,Powerledger,powr,155086250,3714660.0
iostoken,IOST,iost,153486711,4796722.0
edu-coin,Open Campus,edu,153146921,4264756.0
ark,ARK,ark,152111361,6834451.0
liquity-usd,Liquity USD,lusd,151747622,924557.0
constellation-labs,Constellation,dag,148798746,1237845.0
status,Status,snt,147161528,2290603.0
orbs,Orbs,orbs,143776936,2502948.0
dusk-network,Dusk,dusk,143692391,28613078.0
nano,Nano,xno,142787729,931269.0
bitcoin-avalanche-bridged-btc-b,Bitcoin Avalanche Bridged (BTC.b),btc.b,138639696,4804697.0
bone-shibaswap,Bone ShibaSwap,bone,137960861,4837717.0
stratis,Stratis,strax,137302610,3248619.0
polymath,Polymath,poly,136752755,9772.3
bora,BORA,bora,136431261,267676.0
alephium,Alephium,alph,135039049,921550.0
prisma-mkusd,Prisma mkUSD,mkusd,134504992,1223775.0
vvs-finance,VVS Finance,vvs,133733288,618606.0
gmt-token,Gomining Token,gmt,133323199,2555178.0
stasis-eurs,STASIS EURO,eurs,133227992,171848.0
ultima,Ultima,ultima,133069866,2835407.0
compound-usd-coin,cUSDC,cusdc,132382714,54.23
synapse-2,Synapse,syn,131424436,10918336.0
constitutiondao,ConstitutionDAO,people,130755585,54275504.0
vulcan-forged,Vulcan Forged,pyr,130535762,5280849.0
btse-token,BTSE Token,btse,130302696,4.12
bluzelle,Bluzelle,blz,129955051,11256196.0
covalent,Covalent,cqt,129818736,963580.0
aioz-network,AIOZ Network,aioz,128843942,1576767.0
lukso-token,LUKSO [OLD],lyxe,128462505,903352.0
nym,Nym,nym,128210584,1215581.0
trias-token,TriasLab,trias,128137566,2007240.0
radiant-capital,Radiant Capital,rdnt,127100389,13834271.0
rif-token,RSK Infrastructure Framework,rif,126998454,1170299.0
hive,Hive,hive,126302395,556662.0
yield-guild-games,Yield Guild Games,ygg,125962430,17358092.0
digibyte,DigiByte,dgb,125653566,2217841.0
liquity,Liquity,lqty,122570402,10146585.0
zencash,Horizen,zen,121416596,8452295.0
mantra-dao,MANTRA,om,120511543,31352046.0
arcblock,Arcblock,abt,120285049,63193846.0
space-id,SPACE ID,id,120105561,10309922.0
prometeus,Prom,prom,118487188,1857178.0
everscale,Everscale,ever,118132544,234933.0
smooth-love-potion,Smooth Love Potion,slp,118079910,9683129.0
cortex,Cortex,ctxc,116491707,11798709.0
maga,MAGA,trump,116201531,5839219.0
hivemapper,Hivemapper,honey,116169688,1414528.0
tenset,Tenset,10set,112648906,383411.0
multibit,Multibit,mubi,111787226,13220849.0
ong,Ontology Gas,ong,111703946,2234045.0
reserve-rights-token,Reserve Rights,rsr,111093738,5435219.0
dkargo,dKargo,dka,111066696,253755.0
crvusd,crvUSD,crvusd,110024234,9022302.0
guild-of-guardians,Guild of Guardians,gog,107594419,749625.0
defichain,DeFiChain,dfi,106806713,5726002.0
loom-network-new,Loom Network (NEW),loom,105116510,8602618.0
hooked-protocol,Hooked Protocol,hook,104349910,3668348.0
pundi-x-2,Pundi X,pundix,104175872,2496116.0
stader-maticx,Stader MaticX,maticx,103587144,790602.0
gamefi,GameFi.org,gafi,103540810,170096.0
stargate-finance,Stargate Finance,stg,103214231,11811827.0
oraichain-token,Oraichain,orai,103115484,1186801.0
hashflow,Hashflow,hft,102584430,11102872.0
nucypher,NuCypher,nu,102416061,9586.36
open-exchange-token,Open Exchange Token,ox,101353501,547824.0
playdapp,PlayDapp,pla,100443387,931824.0
milk-alliance,MiL.k Alliance,mlk,100396841,2631567.0
canto,CANTO,canto,100091004,3068578.0
arkham,Arkham,arkm,100012192,8718499.0
smardex,SmarDex,sdex,99878825,1436021.0
redacted,Redacted,btrfly,99702424,370605.0
binance-usd,BUSD,busd,99572449,16250271.0
stp-network,STP,stpt,99423962,1152782.0
hydradx,HydraDX,hdx,99257287,431226.0
trac,TRAC (Ordinals),trac,98897854,942896.0
secret,Secret,scrt,98674104,1375352.0
kyber-network-crystal,Kyber Network Crystal,knc,98343731,6591770.0
insure,inSure DeFi,sure,98075217,745273.0
tominet,tomiNet,tomi,97842278,22056476.0
coti,COTI,coti,97805002,30900011.0
energy-web-token,Energy Web,ewt,97421907,547141.0
origin-ether,Origin Ether,oeth,96833219,1081658.0
chainflip,Chainflip,flip,96769218,1250345.0
steem,Steem,steem,96552579,1313687.0
aurora-near,Aurora,aurora,96211498,805075.0
fx-coin,Function X,fx,96088808,588084.0
bancor,Bancor Network,bnt,95944375,619294.0
adventure-gold,Adventure Gold,agld,95497022,11265406.0
my-neighbor-alice,My Neighbor Alice,alice,95428590,5283456.0
astroport-fi,Astroport,astro,94711024,295933.0
mass-vehicle-ledger,MVL,mvl,94494319,669644.0
agoric,Agoric,bld,94169015,262303.0
allianceblock-nexera,AllianceBlock Nexera,nxra,94128343,1064751.0
telcoin,Telcoin,tel,93966094,866839.0
dimo,DIMO,dimo,93311852,542725.0
stargaze,Stargaze,stars,93198136,136755.0
dent,Dent,dent,92565314,2628401.0
bakerytoken,BakerySwap,bake,92291165,18112199.0
maple,Maple,mpl,92086580,573991.0
storj,Storj,storj,91948801,16415494.0
nakamoto-games,Nakamoto Games,naka,91699246,11286412.0
dodo,DODO,dodo,91657938,5010480.0
celer-network,Celer Network,celr,91520089,2941666.0
0x0-ai-ai-smart-contract,0x0.ai: AI Smart Contract,0x0,91468793,945787.0
metal,Metal DAO,mtl,91320451,1972190.0
apex-token-2,ApeX,apex,91253306,36101258.0
wink,WINkLink,win,90784429,7518083.0
coinex-token,CoinEx,cet,90762747,68228.0
pond-coin,PondCoin,pndc,90676571,2671950.0
zkfair,ZKFair,zkf,90493774,4514562.0
wilder-world,Wilder World,wild,89996954,453665.0
wazirx,WazirX,wrx,89830305,5441772.0
krypton-dao,Krypton DAO,krd,89032990,5714.7
radicle,Radworks,rad,88794979,4698994.0
kinesis-gold,Kinesis Gold,kau,88728008,10963022.0
uquid-coin,Uquid Coin,uqc,88502566,3338142.0
xpla,XPLA,xpla,87981333,6745189.0
alchemy-pay,Alchemy Pay,ach,87882936,5269898.0
cudos,Cudos,cudos,87370929,659193.0
omisego,OMG Network,omg,87181950,11407280.0
short-term-t-bill-token,Short-term T-Bill Token,stbt,87147111,19.93
bifrost,Bifrost,bfc,86985329,1907548.0
cdai,cDAI,cdai,86930903,206995.0
tokamak-network,Tokamak Network,ton,86754418,600253.0
acala,Acala,aca,86713534,30555216.0
medibloc,Medibloc,med,85835497,795934.0
metaplex,Metaplex,mplx,85782608,776303.0
everipedia,IQ,iq,85687048,326310.0
guildfi,GuildFi,gf,85493690,2000928.0
hello-labs,HELLO,hello,85397854,4068419.0
world-mobile-token,World Mobile Token,wmt,84963633,1711910.0
dogelon-mars,Dogelon Mars,elon,84743758,8764522.0
shardus,Shardus,ult,84533254,321.41
chaingpt,ChainGPT,cgpt,83117190,10485535.0
ergo,Ergo,erg,82869500,324740.0
boba-network,Boba Network,boba,82741365,2033619.0
noia-network,Syntropy,noia,82685129,1278323.0
certik,Shentu,ctk,82504681,1466432.0
syscoin,Syscoin,sys,82250942,1386438.0
polygon-ecosystem-token,Polygon Ecosystem Token,pol,82045315,531723.0
ardor,Ardor,ardr,81698837,1291432.0
metars-genesis,Metars Genesis,mrs,81197355,55022.0
abelian,Abelian,abel,81171669,79147.0
nkn,NKN,nkn,80511885,2407382.0
origin-protocol,Origin Protocol,ogn,79860066,10475275.0
ozone-chain,Ozone Chain,ozo,79596339,313998.0
vanar-chain,Vanar Chain,vanry,79528557,4843807.0
star-atlas-dao,Star Atlas DAO,polis,79272167,447837.0
kinesis-silver,Kinesis Silver,kag,79201136,701799.0
alpha-finance,Stella,alpha,78603310,1685437.0
nerve-finance,Nerve Finance,nrv,77747624,36499.0
sweatcoin,Sweat Economy,sweat,77735826,4845705.0
gods-unchained,Gods Unchained,gods,77564853,881260.0
cyberconnect,CyberConnect,cyber,77009572,13432257.0
neon,Neon,neon,76582859,2591860.0
mobox,Mobox,mbox,76514304,8797717.0
perpetual-protocol,Perpetual Protocol,perp,76428654,4897836.0
quasar-2,Quasar,qsr,75982435,76353.0
shido-2,Shido,shido,75542629,1256641.0
snek,Snek,snek,75069580,1032607.0
humanscape,Hippocrat,hpo,74835416,231800.0
tor,TOR,tor,74724993,45600.0
merit-circle,Merit Circle,mc,74706172,132600.0
celsius-degree-token,Celsius Network,cel,74456418,842097.0
verus-coin,Verus Coin,vrsc,74366397,6276.73
white-rhinoceros,White Rhinoceros,whrh,74258904,892524.0
storm,StormX,stmx,73853993,3105678.0
myria,Myria,myria,73718650,1786013.0
rss3,RSS3,rss3,73702658,3766977.0
xyo-network,XYO Network,xyo,73636972,742009.0
telos,Telos,tlos,73399790,1145320.0
polkastarter,Polkastarter,pols,73372924,2116163.0
dextools,DexTools,dext,73326439,389029.0
sun-token,Sun Token,sun,73160965,19611582.0
alethea-artificial-liquid-intelligence-token,Artificial Liquid Intelligence,ali,72770171,964377.0
vitadao,VitaDAO,vita,72729220,292215.0
lyra-finance,Lyra Finance,lyra,72689571,50084.0
goldfinch,Goldfinch,gfi,72538122,250382.0
deapcoin,DEAPCOIN,dep,72463120,971447.0
civic,Civic,cvc,72332685,2025501.0
vyvo-smart-chain,Vyvo Smart Chain,vsc,71852882,736382.0
euler,Euler,eul,71722736,237276.0
loom-network,Loom Network (OLD),loomold,71650657,413857.0
decimal,Decimal,del,70749620,200250.0
dock,Dock,dock,70448413,410486.0
lif3,LIF3 (OLD),lif3,70272640,1176.22
shrapnel-2,Shrapnel,shrap,70164328,1056377.0
elastos,Elastos,ela,70026958,525735.0
paal-ai,PAAL AI,paal,69912299,1446160.0
lords,LORDS,lords,69865486,281793.0
moviebloc,MovieBloc,mbl,69768700,404958.0
sharering,Share,shr,69453171,172428.0
marblex,Marblex,mbx,69423154,996966.0
agoras-currency-of-tau,Agoras: Currency of Tau,agrs,68776594,467436.0
niza-global,Niza Global,niza,68643317,1457782.0
chainx,ChainX,pcx,68530128,76123.0
hunt-token,Hunt,hunt,68243609,554381.0
looksrare,LooksRare,looks,67993714,3613877.0
gitcoin,Gitcoin,gtc,67979567,3954710.0
tokenlon,Tokenlon,lon,67968342,529573.0
ampleforth,Ampleforth,ampl,67931568,246675.0
solend,Solend,slnd,67283971,109627.0
wexo,Wexo,wexo,67002720,50216.0
tomochain,Viction,vic,66830187,2687330.0
hermez-network-token,Hermez Network,hez,66588210,45657.0
cow-protocol,CoW Protocol,cow,66448242,661308.0
quark-chain,QuarkChain,qkc,65859451,815044.0
superrare,SuperRare,rare,65613089,1959268.0
kyve-network,KYVE Network,kyve,65504515,23811.0
persistence,Persistence,xprt,65491760,420353.0
ondo-us-dollar-yield,Ondo US Dollar Yield,usdy,65454063,387947.0
myro,Myro,$myro,65385875,27938755.0
coq-inu,Coq Inu,coq,64974517,2664127.0
benqi,BENQI,qi,64691295,1444522.0
meld-2,MELD,meld,64351733,1314282.0
spell-token,Spell,spell,64093406,2333120.0
pha,Phala,pha,64049000,4593677.0
saitama-inu,Saitama,saitama,63828875,288.8
veno-finance,Veno Finance,vno,63805079,36127.0
badger-dao,Badger,badger,63588520,3121400.0
solo-coin,Sologenic,solo,63481770,2275091.0
marcopolo,MAP Protocol,map,63372075,743032.0
request-network,Request,req,63271806,1095398.0
hifi-finance,Hifi Finance,hifi,63182880,2390804.0
crown-by-third-time-games,Crown by Third Time Games,crown,62676450,622322.0
orchid-protocol,Orchid Protocol,oxt,62660193,10300836.0
fideum,Fideum,fi,62607754,1386107.0
stakewise-v3-oseth,StakeWise Staked ETH,oseth,62576049,425021.0
planet-token,Planet Token,planet,62254573,10085171.0
cornucopias,Cornucopias,copi,61089432,92828.0
unizen,Unizen,zcx,60871183,1004587.0
sovryn,Sovryn,sov,60708422,269537.0
cobak-token,Cobak,cbk,60495484,1387132.0
ultra,Ultra,uos,60153494,973803.0
bazaars,Bazaars,bzr,59932752,393334.0
hytopia,Hytopia,topia,59796381,253260.0
marinade,Marinade,mnde,59001885,516951.0
zignaly,Zignaly,zig,58949828,8684917.0
vega-protocol,Vega Protocol,vega,58676545,557731.0
seth2,sETH2,seth2,58637868,39343.0
funfair,FUNToken,fun,58457501,1393536.0
ztx,ZTX,ztx,58433394,1078055.0
crypto-asset-governance-alliance,Crypto Asset Governance Alliance,caga,58167818,2763784.0
wrapped-nxm,Wrapped NXM,wnxm,57810866,1495456.0
hxro,HXRO,hxro,57651085,160.28
metadium,Metadium,meta,57637469,728869.0
star-atlas,Star Atlas,atlas,57471479,1076529.0
bilira,BiLira,tryb,57397418,818.01
unibot,Unibot,unibot,56385417,2681321.0
paid-network,PAID Network,paid,56236727,565687.0
toshi,Toshi,toshi,56080883,1277295.0
rocketx,RocketX Exchange,rvf,55949759,187383.0
de-fi,DeFi,defi,55777712,4846644.0
euro-coin,EURC,eurc,55567949,1678845.0
airtor-protocol,AirTor Protocol,ator,55507588,1012118.0
magic-internet-money,Magic Internet Money,mim,55417808,1061409.0
aergo,Aergo,aergo,54893872,912977.0
sora-validator-token,Sora Validator,val,54846327,38772.0
uwu-lend,UwU Lend,uwu,54548122,14207.42
meter,Meter Governance,mtrg,54538714,180524.0
astrafer,Astrafer,astrafer,54353226,37852.0
nusd,sUSD,susd,54228410,977869.0
republic-protocol,Ren,ren,54221507,5676441.0
arpa,ARPA,arpa,54174466,7752845.0
ankreth,Ankr Staked ETH,ankreth,54061277,3088.3
tbtc,tBTC,tbtc,53965359,998636.0
murasaki,Murasaki,mura,53629807,8233.85
